Номер студента,Сумма,Курс,Время,Дата,Ключ заказа
264,4225.0,Backend про,2026-09-02 18:37:57,2026-09-02,264|2026-09-02 18:37:57
264,4225.0,Алгоритмы,2026-09-02 18:37:57,2026-09-02,264|2026-09-02 18:37:57
6,8450.0,Аналитика про,2026-09-02 19:16:28,2026-09-02,6|2026-09-02 19:16:28
404,7475.0,Алгоритмы про,2026-09-02 19:30:00,2026-09-02,404|2026-09-02 19:30:00
35,4225.0,Backend про,2026-09-02 22:38:59,2026-09-02,35|2026-09-02 22:38:59
450,8950.0,Backend про,2026-09-03 06:06:37,2026-09-03,450|2026-09-03 06:06:37
504,5975.0,Аналитика старт,2026-09-03 06:27:49,2026-09-03,504|2026-09-03 06:27:49
273,8950.0,ML про,2026-09-03 08:17:51,2026-09-03,273|2026-09-03 08:17:51
508,5750.0,Backend про,2026-09-03 08:29:32,2026-09-03,508|2026-09-03 08:29:32
395,8950.0,ML про,2026-09-03 11:18:32,2026-09-03,395|2026-09-03 11:18:32
271,7475.0,ML про,2026-09-03 12:55:50,2026-09-03,271|2026-09-03 12:55:50
271,7475.0,Алгоритмы про,2026-09-03 12:55:50,2026-09-03,271|2026-09-03 12:55:50
9,8950.0,Аналитика про,2026-09-03 14:55:45,2026-09-03,9|2026-09-03 14:55:45
205,8950.0,Аналитика про,2026-09-03 15:01:50,2026-09-03,205|2026-09-03 15:01:50
230,8950.0,Аналитика про,2026-09-03 15:07:18,2026-09-03,230|2026-09-03 15:07:18
330,7475.0,Аналитика про,2026-09-03 15:10:16,2026-09-03,330|2026-09-03 15:10:16
330,7475.0,Аналитика старт,2026-09-03 15:10:16,2026-09-03,330|2026-09-03 15:10:16
376,6950.0,К ВУЗу,2026-09-03 15:43:04,2026-09-03,376|2026-09-03 15:43:04
352,8450.0,Алгоритмы про,2026-09-03 16:22:06,2026-09-03,352|2026-09-03 16:22:06
345,8950.0,Аналитика про,2026-09-03 16:33:15,2026-09-03,345|2026-09-03 16:33:15
252,8950.0,Backend про,2026-09-03 16:36:15,2026-09-03,252|2026-09-03 16:36:15
318,8450.0,Аналитика про,2026-09-03 17:23:38,2026-09-03,318|2026-09-03 17:23:38
402,8450.0,ML про,2026-09-03 17:30:08,2026-09-03,402|2026-09-03 17:30:08
594,5000.0,AI агенты,2026-09-03 18:16:38,2026-09-03,594|2026-09-03 18:16:38
561,18900.0,Теория вероятностей,2026-09-03 18:55:28,2026-09-03,561|2026-09-03 18:55:28
409,5000.0,AI агенты,2026-09-03 21:58:56,2026-09-03,409|2026-09-03 21:58:56
3,5975.0,АВ тестам,2026-09-03 22:47:02,2026-09-03,3|2026-09-03 22:47:02
601,7475.0,AI агенты,2026-09-04 04:51:49,2026-09-04,601|2026-09-04 04:51:49
601,7475.0,ML про,2026-09-04 04:51:49,2026-09-04,601|2026-09-04 04:51:49
601,7475.0,ML старт,2026-09-04 04:51:49,2026-09-04,601|2026-09-04 04:51:49
363,8945.0,Backend про,2026-09-04 06:28:52,2026-09-04,363|2026-09-04 06:28:52
124,9950.0,Линейная алгебра,2026-09-04 06:34:32,2026-09-04,124|2026-09-04 06:34:32
490,8450.0,AI агенты,2026-09-04 10:01:44,2026-09-04,490|2026-09-04 10:01:44
326,7475.0,Аналитика про,2026-09-04 10:55:46,2026-09-04,326|2026-09-04 10:55:46
326,7475.0,Аналитика старт,2026-09-04 10:55:46,2026-09-04,326|2026-09-04 10:55:46
590,8945.0,Backend про,2026-09-04 11:04:11,2026-09-04,590|2026-09-04 11:04:11
379,7475.0,Аналитика про,2026-09-04 11:44:55,2026-09-04,379|2026-09-04 11:44:55
317,8950.0,Аналитика про,2026-09-04 13:16:14,2026-09-04,317|2026-09-04 13:16:14
354,8245.0,Дискретка,2026-09-04 13:47:25,2026-09-04,354|2026-09-04 13:47:25
383,8950.0,Аналитика про,2026-09-04 14:11:02,2026-09-04,383|2026-09-04 14:11:02
375,7000.0,Алгоритмы про,2026-09-04 14:19:28,2026-09-04,375|2026-09-04 14:19:28
582,8950.0,Аналитика старт,2026-09-04 15:03:52,2026-09-04,582|2026-09-04 15:03:52
378,8950.0,Аналитика про,2026-09-04 15:08:47,2026-09-04,378|2026-09-04 15:08:47
28,7475.0,Аналитика про,2026-09-04 15:15:34,2026-09-04,28|2026-09-04 15:15:34
28,7475.0,Аналитика старт,2026-09-04 15:15:34,2026-09-04,28|2026-09-04 15:15:34
302,7475.0,Аналитика про,2026-09-04 15:20:47,2026-09-04,302|2026-09-04 15:20:47
303,7475.0,ML про,2026-09-04 15:21:52,2026-09-04,303|2026-09-04 15:21:52
303,7475.0,ML старт,2026-09-04 15:21:52,2026-09-04,303|2026-09-04 15:21:52
15,8450.0,Аналитика про,2026-09-04 15:26:00,2026-09-04,15|2026-09-04 15:26:00
197,7475.0,AI агенты,2026-09-04 15:39:31,2026-09-04,197|2026-09-04 15:39:31
197,7475.0,Backend про,2026-09-04 15:39:31,2026-09-04,197|2026-09-04 15:39:31
574,7475.0,ML про,2026-09-04 16:29:01,2026-09-04,574|2026-09-04 16:29:01
198,7475.0,Аналитика старт,2026-09-04 16:44:57,2026-09-04,198|2026-09-04 16:44:57
576,7475.0,ML старт,2026-09-04 17:26:34,2026-09-04,576|2026-09-04 17:26:34
471,9950.0,Линейная алгебра,2026-09-04 18:12:51,2026-09-04,471|2026-09-04 18:12:51
428,8950.0,ML про,2026-09-04 18:33:44,2026-09-04,428|2026-09-04 18:33:44
428,8950.0,ML старт,2026-09-04 18:33:44,2026-09-04,428|2026-09-04 18:33:44
94,8950.0,Backend про,2026-09-04 18:49:47,2026-09-04,94|2026-09-04 18:49:47
1,8950.0,Аналитика старт,2026-09-04 19:30:57,2026-09-04,1|2026-09-04 19:30:57
384,8450.0,Аналитика про,2026-09-04 20:38:50,2026-09-04,384|2026-09-04 20:38:50
43,6475.0,АВ тестам,2026-09-05 07:16:30,2026-09-05,43|2026-09-05 07:16:30
43,6475.0,Аналитика старт,2026-09-05 07:16:30,2026-09-05,43|2026-09-05 07:16:30
309,8950.0,ML про,2026-09-05 09:55:40,2026-09-05,309|2026-09-05 09:55:40
502,8450.0,ML про,2026-09-05 10:11:25,2026-09-05,502|2026-09-05 10:11:25
591,8450.0,AI агенты,2026-09-05 10:13:46,2026-09-05,591|2026-09-05 10:13:46
394,8950.0,Алгоритмы про,2026-09-05 10:17:43,2026-09-05,394|2026-09-05 10:17:43
155,7475.0,Backend про,2026-09-05 10:20:56,2026-09-05,155|2026-09-05 10:20:56
155,7475.0,Backend старт,2026-09-05 10:20:56,2026-09-05,155|2026-09-05 10:20:56
533,8450.0,AI агенты,2026-09-05 10:24:14,2026-09-05,533|2026-09-05 10:24:14
510,8950.0,AI агенты,2026-09-05 10:34:42,2026-09-05,510|2026-09-05 10:34:42
328,7475.0,ML про,2026-09-05 10:58:26,2026-09-05,328|2026-09-05 10:58:26
328,7475.0,Аналитика про,2026-09-05 10:58:26,2026-09-05,328|2026-09-05 10:58:26
31,7475.0,ML про,2026-09-05 11:00:21,2026-09-05,31|2026-09-05 11:00:21
397,8950.0,Аналитика старт,2026-09-05 11:02:15,2026-09-05,397|2026-09-05 11:02:15
487,7475.0,ML про,2026-09-05 11:02:17,2026-09-05,487|2026-09-05 11:02:17
487,7475.0,ML старт,2026-09-05 11:02:17,2026-09-05,487|2026-09-05 11:02:17
515,8450.0,Аналитика про,2026-09-05 12:09:36,2026-09-05,515|2026-09-05 12:09:36
155,7000.0,Алгоритмы старт,2026-09-05 12:13:44,2026-09-05,155|2026-09-05 12:13:44
117,8450.0,Аналитика про,2026-09-05 12:34:35,2026-09-05,117|2026-09-05 12:34:35
517,8950.0,Аналитика про,2026-09-05 12:48:03,2026-09-05,517|2026-09-05 12:48:03
238,8950.0,Backend про,2026-09-05 13:28:56,2026-09-05,238|2026-09-05 13:28:56
406,8450.0,ML про,2026-09-05 13:55:08,2026-09-05,406|2026-09-05 13:55:08
270,8950.0,Аналитика про,2026-09-05 14:08:51,2026-09-05,270|2026-09-05 14:08:51
48,8950.0,Backend про,2026-09-05 14:24:29,2026-09-05,48|2026-09-05 14:24:29
405,8950.0,Backend старт,2026-09-05 14:29:26,2026-09-05,405|2026-09-05 14:29:26
18,8950.0,Алгоритмы про,2026-09-05 14:29:29,2026-09-05,18|2026-09-05 14:29:29
362,8450.0,ML про,2026-09-05 14:52:23,2026-09-05,362|2026-09-05 14:52:23
250,7475.0,Backend про,2026-09-05 14:54:24,2026-09-05,250|2026-09-05 14:54:24
250,7475.0,Backend старт,2026-09-05 14:54:24,2026-09-05,250|2026-09-05 14:54:24
540,8950.0,Аналитика про,2026-09-05 14:57:41,2026-09-05,540|2026-09-05 14:57:41
461,7475.0,Аналитика про,2026-09-05 15:01:05,2026-09-05,461|2026-09-05 15:01:05
461,7475.0,Аналитика старт,2026-09-05 15:01:05,2026-09-05,461|2026-09-05 15:01:05
556,7475.0,Аналитика про,2026-09-05 15:17:14,2026-09-05,556|2026-09-05 15:17:14
431,8950.0,Алгоритмы старт,2026-09-05 15:28:29,2026-09-05,431|2026-09-05 15:28:29
169,8950.0,Аналитика про,2026-09-05 15:47:16,2026-09-05,169|2026-09-05 15:47:16
245,8950.0,Backend про,2026-09-05 15:54:58,2026-09-05,245|2026-09-05 15:54:58
2,8950.0,ML про,2026-09-05 16:22:48,2026-09-05,2|2026-09-05 16:22:48
414,8950.0,ML про,2026-09-05 16:25:16,2026-09-05,414|2026-09-05 16:25:16
596,8950.0,ML про,2026-09-05 16:26:36,2026-09-05,596|2026-09-05 16:26:36
67,8950.0,ML про,2026-09-05 17:04:40,2026-09-05,67|2026-09-05 17:04:40
210,7475.0,Аналитика старт,2026-09-05 17:12:38,2026-09-05,210|2026-09-05 17:12:38
127,8950.0,ML про,2026-09-05 17:27:41,2026-09-05,127|2026-09-05 17:27:41
602,8450.0,Backend про,2026-09-05 17:42:39,2026-09-05,602|2026-09-05 17:42:39
109,8950.0,ML про,2026-09-05 17:57:36,2026-09-05,109|2026-09-05 17:57:36
398,8950.0,ML про,2026-09-05 18:06:36,2026-09-05,398|2026-09-05 18:06:36
350,8450.0,Аналитика про,2026-09-05 18:12:55,2026-09-05,350|2026-09-05 18:12:55
24,8950.0,ML про,2026-09-05 18:23:21,2026-09-05,24|2026-09-05 18:23:21
553,8950.0,ML про,2026-09-05 18:27:14,2026-09-05,553|2026-09-05 18:27:14
174,7475.0,ML про,2026-09-05 18:41:16,2026-09-05,174|2026-09-05 18:41:16
174,7475.0,Алгоритмы про,2026-09-05 18:41:16,2026-09-05,174|2026-09-05 18:41:16
494,8959.0,Алгоритмы про,2026-09-05 19:15:54,2026-09-05,494|2026-09-05 19:15:54
377,7475.0,Аналитика про,2026-09-05 19:24:12,2026-09-05,377|2026-09-05 19:24:12
377,7475.0,Аналитика старт,2026-09-05 19:24:12,2026-09-05,377|2026-09-05 19:24:12
60,8950.0,ML про,2026-09-05 19:44:33,2026-09-05,60|2026-09-05 19:44:33
545,8950.0,ML про,2026-09-05 19:45:17,2026-09-05,545|2026-09-05 19:45:17
147,7475.0,ML про,2026-09-05 19:46:01,2026-09-05,147|2026-09-05 19:46:01
147,7475.0,ML старт,2026-09-05 19:46:01,2026-09-05,147|2026-09-05 19:46:01
416,6975.0,Backend про,2026-09-05 21:19:33,2026-09-05,416|2026-09-05 21:19:33
416,6975.0,ML про,2026-09-05 21:19:33,2026-09-05,416|2026-09-05 21:19:33
188,6975.0,Backend про,2026-09-06 01:03:43,2026-09-06,188|2026-09-06 01:03:43
569,8950.0,Backend про,2026-09-06 08:00:03,2026-09-06,569|2026-09-06 08:00:03
74,8450.0,AI агенты,2026-09-06 10:34:28,2026-09-06,74|2026-09-06 10:34:28
20,7475.0,Аналитика про,2026-09-06 11:07:00,2026-09-06,20|2026-09-06 11:07:00
20,7475.0,Аналитика старт,2026-09-06 11:07:00,2026-09-06,20|2026-09-06 11:07:00
151,7475.0,Аналитика про,2026-09-06 11:31:11,2026-09-06,151|2026-09-06 11:31:11
42,8450.0,ML про,2026-09-06 11:42:46,2026-09-06,42|2026-09-06 11:42:46
193,8450.0,AI агенты,2026-09-06 11:49:34,2026-09-06,193|2026-09-06 11:49:34
105,8950.0,Аналитика про,2026-09-06 11:55:22,2026-09-06,105|2026-09-06 11:55:22
275,6975.0,AI агенты,2026-09-06 11:58:58,2026-09-06,275|2026-09-06 11:58:58
275,6975.0,ML про,2026-09-06 11:58:58,2026-09-06,275|2026-09-06 11:58:58
56,7475.0,Backend старт,2026-09-06 12:12:33,2026-09-06,56|2026-09-06 12:12:33
44,6975.0,AI агенты,2026-09-06 12:29:18,2026-09-06,44|2026-09-06 12:29:18
327,8950.0,AI агенты,2026-09-06 12:45:38,2026-09-06,327|2026-09-06 12:45:38
292,6975.0,ML про,2026-09-06 12:59:39,2026-09-06,292|2026-09-06 12:59:39
150,8950.0,Backend про,2026-09-06 13:11:45,2026-09-06,150|2026-09-06 13:11:45
59,8950.0,ML про,2026-09-06 13:32:21,2026-09-06,59|2026-09-06 13:32:21
154,8950.0,Алгоритмы про,2026-09-06 13:40:03,2026-09-06,154|2026-09-06 13:40:03
472,8950.0,ML про,2026-09-06 13:45:12,2026-09-06,472|2026-09-06 13:45:12
601,6975.0,Аналитика про,2026-09-06 14:28:33,2026-09-06,601|2026-09-06 14:28:33
601,6975.0,Аналитика старт,2026-09-06 14:28:33,2026-09-06,601|2026-09-06 14:28:33
22,8450.0,ML про,2026-09-06 14:41:56,2026-09-06,22|2026-09-06 14:41:56
344,8950.0,AI агенты,2026-09-06 14:48:52,2026-09-06,344|2026-09-06 14:48:52
49,7475.0,AI агенты,2026-09-06 14:51:02,2026-09-06,49|2026-09-06 14:51:02
49,7475.0,Backend про,2026-09-06 14:51:02,2026-09-06,49|2026-09-06 14:51:02
113,8950.0,Аналитика про,2026-09-06 15:14:57,2026-09-06,113|2026-09-06 15:14:57
366,2237.5,AI агенты,2026-09-06 15:18:37,2026-09-06,366|2026-09-06 15:18:37
366,2237.5,ML про,2026-09-06 15:18:37,2026-09-06,366|2026-09-06 15:18:37
366,2237.5,ML старт,2026-09-06 15:18:37,2026-09-06,366|2026-09-06 15:18:37
366,2237.5,Алгоритмы старт,2026-09-06 15:18:37,2026-09-06,366|2026-09-06 15:18:37
434,8450.0,Backend про,2026-09-06 15:23:19,2026-09-06,434|2026-09-06 15:23:19
55,2237.5,AI агенты,2026-09-06 15:35:13,2026-09-06,55|2026-09-06 15:35:13
23,2237.5,ML старт,2026-09-06 15:39:44,2026-09-06,23|2026-09-06 15:39:44
51,2237.5,ML про,2026-09-06 15:46:24,2026-09-06,51|2026-09-06 15:46:24
261,8950.0,AI агенты,2026-09-06 16:06:04,2026-09-06,261|2026-09-06 16:06:04
306,8950.0,ML старт,2026-09-06 16:18:59,2026-09-06,306|2026-09-06 16:18:59
180,2237.5,Алгоритмы старт,2026-09-06 16:23:30,2026-09-06,180|2026-09-06 16:23:30
10,8450.0,Backend про,2026-09-06 16:25:37,2026-09-06,10|2026-09-06 16:25:37
310,7475.0,AI агенты,2026-09-06 16:38:02,2026-09-06,310|2026-09-06 16:38:02
310,7475.0,ML про,2026-09-06 16:38:02,2026-09-06,310|2026-09-06 16:38:02
528,8950.0,ML про,2026-09-06 16:54:20,2026-09-06,528|2026-09-06 16:54:20
97,8950.0,Backend про,2026-09-06 17:27:55,2026-09-06,97|2026-09-06 17:27:55
449,8950.0,Алгоритмы старт,2026-09-06 17:28:24,2026-09-06,449|2026-09-06 17:28:24
278,7475.0,Аналитика про,2026-09-06 17:31:06,2026-09-06,278|2026-09-06 17:31:06
278,7475.0,Аналитика старт,2026-09-06 17:31:06,2026-09-06,278|2026-09-06 17:31:06
300,6950.0,Data Science,2026-09-06 17:58:00,2026-09-06,300|2026-09-06 17:58:00
251,9950.0,Мат анализ,2026-09-06 18:05:45,2026-09-06,251|2026-09-06 18:05:45
347,7475.0,Аналитика про,2026-09-06 18:35:08,2026-09-06,347|2026-09-06 18:35:08
359,7475.0,Аналитика старт,2026-09-06 18:40:33,2026-09-06,359|2026-09-06 18:40:33
399,8950.0,ML про,2026-09-06 19:02:33,2026-09-06,399|2026-09-06 19:02:33
530,8950.0,Аналитика про,2026-09-06 19:09:38,2026-09-06,530|2026-09-06 19:09:38
396,9950.0,Мат анализ,2026-09-06 19:15:37,2026-09-06,396|2026-09-06 19:15:37
604,8950.0,Аналитика старт,2026-09-06 19:17:57,2026-09-06,604|2026-09-06 19:17:57
593,9950.0,Мат анализ,2026-09-06 19:53:15,2026-09-06,593|2026-09-06 19:53:15
454,8950.0,ML про,2026-09-07 04:33:26,2026-09-07,454|2026-09-07 04:33:26
63,8950.0,Алгоритмы про,2026-09-07 05:24:57,2026-09-07,63|2026-09-07 05:24:57
228,8950.0,AI агенты,2026-09-07 07:42:35,2026-09-07,228|2026-09-07 07:42:35
13,8950.0,AI агенты,2026-09-07 07:54:24,2026-09-07,13|2026-09-07 07:54:24
465,4225.0,Алгоритмы,2026-09-07 08:21:23,2026-09-07,465|2026-09-07 08:21:23
125,8950.0,ML про,2026-09-07 08:46:37,2026-09-07,125|2026-09-07 08:46:37
491,8950.0,Аналитика про,2026-09-07 09:04:54,2026-09-07,491|2026-09-07 09:04:54
100,8950.0,Backend старт,2026-09-07 09:30:42,2026-09-07,100|2026-09-07 09:30:42
110,8950.0,AI агенты,2026-09-07 10:27:06,2026-09-07,110|2026-09-07 10:27:06
119,8950.0,Алгоритмы про,2026-09-07 11:34:36,2026-09-07,119|2026-09-07 11:34:36
102,6475.0,AI агенты,2026-09-07 12:59:48,2026-09-07,102|2026-09-07 12:59:48
102,6475.0,ML про,2026-09-07 12:59:48,2026-09-07,102|2026-09-07 12:59:48
204,8950.0,ML про,2026-09-07 13:39:13,2026-09-07,204|2026-09-07 13:39:13
214,8950.0,AI агенты,2026-09-07 14:02:50,2026-09-07,214|2026-09-07 14:02:50
254,7475.0,Алгоритмы про,2026-09-07 14:53:39,2026-09-07,254|2026-09-07 14:53:39
254,7475.0,Алгоритмы старт,2026-09-07 14:53:39,2026-09-07,254|2026-09-07 14:53:39
246,9950.0,Мат анализ,2026-09-07 16:45:55,2026-09-07,246|2026-09-07 16:45:55
509,18900.0,Теория вероятностей,2026-09-07 16:51:31,2026-09-07,509|2026-09-07 16:51:31
72,6975.0,AI агенты,2026-09-07 19:19:58,2026-09-07,72|2026-09-07 19:19:58
72,6975.0,ML про,2026-09-07 19:19:58,2026-09-07,72|2026-09-07 19:19:58
78,6950.0,Data Science,2026-09-08 05:10:30,2026-09-08,78|2026-09-08 05:10:30
548,6975.0,AI агенты,2026-09-08 12:45:32,2026-09-08,548|2026-09-08 12:45:32
548,6975.0,ML про,2026-09-08 12:45:32,2026-09-08,548|2026-09-08 12:45:32
429,9950.0,Мат анализ,2026-09-08 13:04:06,2026-09-08,429|2026-09-08 13:04:06
499,8950.0,Аналитика про,2026-09-08 13:24:34,2026-09-08,499|2026-09-08 13:24:34
68,7500.0,Алгоритмы про,2026-09-08 17:53:12,2026-09-08,68|2026-09-08 17:53:12
68,7500.0,Алгоритмы старт,2026-09-08 17:53:12,2026-09-08,68|2026-09-08 17:53:12
456,9950.0,Мат анализ,2026-09-08 17:57:42,2026-09-08,456|2026-09-08 17:57:42
190,9950.0,Мат анализ,2026-09-09 02:52:43,2026-09-09,190|2026-09-09 02:52:43
80,6975.0,ML про,2026-09-09 04:53:08,2026-09-09,80|2026-09-09 04:53:08
108,6975.0,AI агенты,2026-09-09 04:53:08,2026-09-09,108|2026-09-09 04:53:08
358,8450.0,Аналитика про,2026-09-09 06:30:33,2026-09-09,358|2026-09-09 06:30:33
224,8450.0,Аналитика про,2026-09-09 08:55:28,2026-09-09,224|2026-09-09 08:55:28
438,8950.0,Аналитика про,2026-09-09 13:24:37,2026-09-09,438|2026-09-09 13:24:37
283,7475.0,AI агенты,2026-09-09 13:34:09,2026-09-09,283|2026-09-09 13:34:09
283,7475.0,ML про,2026-09-09 13:34:09,2026-09-09,283|2026-09-09 13:34:09
381,8950.0,Аналитика старт,2026-09-09 14:46:43,2026-09-09,381|2026-09-09 14:46:43
212,7475.0,Алгоритмы про,2026-09-09 15:03:44,2026-09-09,212|2026-09-09 15:03:44
212,7475.0,Алгоритмы старт,2026-09-09 15:03:44,2026-09-09,212|2026-09-09 15:03:44
567,7475.0,AI агенты,2026-09-09 15:06:26,2026-09-09,567|2026-09-09 15:06:26
567,7475.0,Алгоритмы про,2026-09-09 15:06:26,2026-09-09,567|2026-09-09 15:06:26
337,7475.0,Алгоритмы про,2026-09-09 15:41:19,2026-09-09,337|2026-09-09 15:41:19
349,7475.0,Алгоритмы старт,2026-09-09 16:10:16,2026-09-09,349|2026-09-09 16:10:16
123,6450.0,Data Science,2026-09-09 16:23:01,2026-09-09,123|2026-09-09 16:23:01
444,7475.0,Алгоритмы про,2026-09-09 16:46:07,2026-09-09,444|2026-09-09 16:46:07
444,7475.0,Алгоритмы старт,2026-09-09 16:46:07,2026-09-09,444|2026-09-09 16:46:07
36,8950.0,Алгоритмы,2026-09-09 19:26:20,2026-09-09,36|2026-09-09 19:26:20
36,8950.0,Дискретка,2026-09-09 19:26:20,2026-09-09,36|2026-09-09 19:26:20
36,8950.0,Линейная алгебра,2026-09-09 19:26:20,2026-09-09,36|2026-09-09 19:26:20
36,8950.0,Мат анализ,2026-09-09 19:26:20,2026-09-09,36|2026-09-09 19:26:20
36,8950.0,Теория вероятностей,2026-09-09 19:26:20,2026-09-09,36|2026-09-09 19:26:20
407,8950.0,Линейная алгебра,2026-09-09 23:11:20,2026-09-09,407|2026-09-09 23:11:20
196,9950.0,Линейная алгебра,2026-09-10 06:09:12,2026-09-10,196|2026-09-10 06:09:12
